Model,CV RMSE,CV R2,CV Dir Acc (%),Test RMSE,Test R2,Test Dir Acc (%),R2 Gap,RMSE Ratio,Dir Acc Gap (%),Overfitting Status,Model Status (Generalization)
XGBoost (Baseline),0.0129,-0.2029,51.8421,0.0088,-0.1872,47.9212,-0.0157,0.6822,-3.9209,Mild,Poor
XGBoost (Optuna),0.0118,-0.0052,52.3684,0.0081,-0.0003,51.2035,-0.0049,0.6864,-1.1649,Mild,Poor
XGBoost (RandomSearchCV),0.0118,-0.004,52.3684,0.0081,-0.0001,51.2035,-0.0039,0.6864,-1.1649,Mild,Poor
LightGBM (Baseline),0.0131,-0.2337,51.3816,0.0087,-0.1591,48.5777,-0.0746,0.6641,-2.8039,Mild,Poor
LightGBM (Optuna),0.0129,-0.1934,53.4211,0.0081,0.0016,51.6411,-0.195,0.6279,-1.78,Mild,Poor
LightGBM (RandomSearchCV),0.0118,-0.0051,52.3026,0.0081,-0.0015,50.9847,-0.0036,0.6864,-1.3179,Mild,Poor
