Model,CV MSE,CV MAE,CV RMSE,CV R2,CV MAPE,CV Directional Accuracy (%),Test MSE,Test MAE,Test RMSE,Test R2,Test MAPE,Test Directional Accuracy (%),R2 Gap,RMSE Ratio,Dir Acc Gap (%),Overfitting Status,Model Status (Generalization)
XGBoost (Optuna),0.0001,0.0083,0.0118,-0.0046,12007.4762,52.3684,0.0001,0.006,0.0081,-0.0001,9118.2591,51.2035,-0.0045,0.6864,-1.1649,Mild,Poor
XGBoost (RandomSearchCV),0.0001,0.0083,0.0118,-0.0048,13193.949,52.3684,0.0001,0.006,0.0081,-0.0002,10322.0755,51.2035,-0.0046,0.6864,-1.1649,Mild,Poor
XGBoost (Baseline),0.0002,0.0093,0.0129,-0.2029,94406.917,51.8421,0.0001,0.0066,0.0088,-0.1872,137432.2093,47.9212,-0.0157,0.6822,-3.9209,Mild,Poor
